state,Semana,Año,rql
Aguascalientes,15,2025,14.0
Baja California,15,2025,9.0
Baja California Sur,15,2025,8.0
Campeche,15,2025,39.0
Chihuahua,15,2025,15.0
Ciudad de México,15,2025,855.0
Coahuila de Zaragoza,15,2025,24.0
Colima,15,2025,26.0
Durango,15,2025,6.0
Estado de México,15,2025,4.0
Guanajuato,15,2025,113.0
Guerrero,15,2025,57.0
Hidalgo,15,2025,56.0
Jalisco,15,2025,513.0
Michoacán,15,2025,77.0
Morelos,15,2025,147.0
México,15,2025,1386.0
Nayarit,15,2025,34.0
Nuevo León,15,2025,200.0
Oaxaca,15,2025,165.0
Puebla,15,2025,290.0
Querétaro,15,2025,40.0
Quintana Roo,15,2025,229.0
San Luis Potosí,15,2025,44.0
Sinaloa,15,2025,21.0
Sonora,15,2025,7.0
Tabasco,15,2025,64.0
Tamaulipas,15,2025,27.0
Tlaxcala,15,2025,61.0
Veracruz,15,2025,191.0
Yucatán,15,2025,124.0
Zacatecas,15,2025,5.0
